ID,Category,Question,Choice1,Choice2,Choice3,Choice4,Explanation
1,相続,相続税の基礎控除額は？,3000万円＋600万円×法定相続人数,3000万円＋500万円×法定相続人数,5000万円,一律3000万円,相続税の基礎控除は「3000万円＋600万円×法定相続人数」。
2,ライフプランニング,老齢基礎年金の受給資格期間は原則何年以上？,10年以上,5年以上,20年以上,25年以上,老齢基礎年金は原則として受給資格期間が10年以上必要。
3,リスク管理,地震による火災の損害は、火災保険だけで補償される？,原則補償されない（地震保険が必要）,火災保険で補償される,自動車保険で補償される,家財保険で自動的に補償される,地震・噴火・津波による損害は火災保険では原則補償されず、地震保険等が必要。
4,金融資産運用,市場金利が上昇すると、固定利付債券の価格はどうなる？,下落する,上昇する,変わらない,満期まで上がり続ける,金利上昇局面では既発の固定利付債の相対的魅力が下がるため価格は下落しやすい。
5,タックスプランニング,所得税の税率構造はどれ？,超過累進税率,定率税率,逆進税率,一律税率,所得税は課税所得が大きいほど高い税率が適用される超過累進税率。
6,不動産,不動産取引の重要事項説明を行い、記名できるのは誰？,宅地建物取引士,不動産鑑定士,行政書士,売主（一般個人）,重要事項説明は宅地建物取引士が行い、説明書面に記名する。
7,金融資産運用,新NISAの年間投資枠（つみたて投資枠＋成長投資枠）の合計上限は？,360万円,120万円,240万円,480万円,新NISAは「つみたて投資枠120万円＋成長投資枠240万円」で年間合計360万円。
8,ライフプランニング,健康保険の被扶養者（扶養に入っている家族）の保険料負担は原則どうなる？,被扶養者は保険料を個別に負担しない,被扶養者は国民健康保険料を支払う,被扶養者も同額の保険料を支払う,被扶養者は保険料を半額負担する,健康保険では被扶養者は原則として個別の保険料負担がない。
9,リスク管理,iDeCo（個人型確定拠出年金）の掛金の税制上の扱いは？,掛金は全額が所得控除（小規模企業共済等掛金控除）,配当控除の対象になる,医療費控除の対象になる,雑損控除の対象になる,iDeCoの掛金は全額が所得控除（小規模企業共済等掛金控除）として扱われる。
10,相続,相続の承認または放棄の熟慮期間は原則いつまで？,自己のために相続開始を知った時から3か月以内,1か月以内,6か月以内,1年以内,相続の承認・放棄は原則として「相続開始を知った時から3か月以内（熟慮期間）」。
