ID,Category,Question,Choice1,Choice2,Choice3,Choice4,Explanation
1,相続,相続税の基礎控除額は？,3000万円＋600万円×法定相続人数,3000万円＋500万円×法定相続人数,5000万円,一律3000万円,相続税の基礎控除は「3000万円＋600万円×法定相続人数」。
2,ライフプランニング,老齢基礎年金の受給資格期間は原則何年以上？,10年以上,5年以上,20年以上,25年以上,老齢基礎年金は原則として受給資格期間が10年以上必要。
3,リスク管理,地震による火災の損害は、火災保険だけで補償される？,原則補償されない（地震保険が必要）,火災保険で補償される,自動車保険で補償される,家財保険で自動的に補償される,地震・噴火・津波による損害は火災保険では原則補償されず、地震保険等が必要。
4,金融資産運用,市場金利が上昇すると、固定利付債券の価格はどうなる？,下落する,上昇する,変わらない,満期まで上がり続ける,金利上昇局面では既発の固定利付債の相対的魅力が下がるため価格は下落しやすい。
5,タックスプランニング,所得税の税率構造はどれ？,超過累進税率,定率税率,逆進税率,一律税率,所得税は課税所得が大きいほど高い税率が適用される超過累進税率。
6,不動産,不動産取引の重要事項説明を行い、記名できるのは誰？,宅地建物取引士,不動産鑑定士,行政書士,売主（一般個人）,重要事項説明は宅地建物取引士が行い、説明書面に記名する。
7,金融資産運用,新NISAの年間投資枠（つみたて投資枠＋成長投資枠）の合計上限は？,360万円,120万円,240万円,480万円,新NISAは「つみたて投資枠120万円＋成長投資枠240万円」で年間合計360万円。
8,ライフプランニング,健康保険の被扶養者（扶養に入っている家族）の保険料負担は原則どうなる？,被扶養者は保険料を個別に負担しない,被扶養者は国民健康保険料を支払う,被扶養者も同額の保険料を支払う,被扶養者は保険料を半額負担する,健康保険では被扶養者は原則として個別の保険料負担がない。
9,リスク管理,iDeCo（個人型確定拠出年金）の掛金の税制上の扱いは？,掛金は全額が所得控除（小規模企業共済等掛金控除）,配当控除の対象になる,医療費控除の対象になる,雑損控除の対象になる,iDeCoの掛金は全額が所得控除（小規模企業共済等掛金控除）として扱われる。
10,相続,相続の承認または放棄の熟慮期間は原則いつまで？,自己のために相続開始を知った時から3か月以内,1か月以内,6か月以内,1年以内,相続の承認・放棄は原則として「相続開始を知った時から3か月以内（熟慮期間）」。
11,相続,相続税の申告・納付期限は原則いつまで？,相続開始を知った日の翌日から10か月以内,相続開始を知った日の翌日から3か月以内,相続開始を知った日の翌日から6か月以内,相続開始を知った日の翌日から1年以内,相続税の申告・納付は「相続の開始を知った日の翌日から10か月以内」が原則。
12,相続,配偶者の相続税の税額軽減（配偶者控除）で非課税となる取得財産の上限は？,1億6千万円または法定相続分相当額のいずれか多い金額,1億円まで,3,000万円まで,法定相続分の50%まで
13,タックスプランニング,贈与税（暦年課税）の基礎控除は？,110万円,60万円,100万円,120万円,暦年課税の贈与税は、1年間の贈与額から基礎控除110万円を差し引いて計算する。
14,タックスプランニング,所得税の最高税率（国税・復興特別所得税は除外）は？,45%,40%,50%,55%,所得税（国税）は超過累進税率で、最高税率は45%。
15,金融資産運用,新NISAの年間投資枠（つみたて投資枠＋成長投資枠の合計）は？,360万円,240万円,120万円,480万円,新NISAは「つみたて120万円＋成長240万円」で、年間合計360万円まで投資できる。
16,金融資産運用,新NISAの生涯非課税保有限度額（総枠）は？,1800万円,1200万円,2000万円,3600万円,新NISAの生涯非課税保有限度額（総枠）は1800万円。
17,リスク管理,地震保険は単独で加入できる？,できない（火災保険とセットで加入）,できる（地震保険だけで加入できる）,生命保険とセットで加入,自動車保険とセットで加入,地震保険は火災保険に付帯して加入する仕組みで、単独加入はできない。
18,リスク管理,自賠責保険の補償対象として正しいものは？,対人賠償（相手の死傷）,対物賠償（相手の車や物）,自分の車両損害,搭乗者傷害（同乗者のケガ）だけ,自賠責保険は原則として対人賠償（相手の死傷）を補償し、対物は対象外。
19,不動産,固定資産税の納税義務者は原則だれ？,賦課期日（1月1日）現在の固定資産課税台帳上の所有者,1月31日現在の所有者,不動産会社（仲介業者）,実際の利用者（居住者）,固定資産税は賦課期日（原則1月1日）時点の台帳上の所有者に課税される。
20,ライフプランニング,老齢基礎年金の受給開始年齢（原則）は？,65歳,60歳,62歳,70歳,老齢基礎年金は原則65歳から受給開始。
21,相続,遺留分が認められない相続人は？,兄弟姉妹,配偶者,子,直系尊属,遺留分は配偶者や子や直系尊属に認められるが兄弟姉妹には認められない。
22,タックスプランニング,医療費控除の対象となりやすい費用は？,治療目的の医薬品代,健康診断で異常がなかった費用,美容目的の施術費,予防接種の全額,医療費控除は治療目的の支出が対象となる。
23,金融資産運用,分散投資の主な効果は？,価格変動リスクの低減,必ず利益が出る,税金がかからなくなる,元本が保証される,値動きの異なる資産に分けることで全体の変動を抑えやすくなる。
24,金融資産運用,株式投資における配当利回りの計算として正しいのは？,1株当たり配当金を株価で割る,株価を1株当たり配当金で割る,配当金を利益で割る,利益を株価で割る,配当利回りは配当金と株価の関係を示す指標である。
25,リスク管理,定期保険と比べた終身保険の特徴は？,一生涯の保障がある,保険料が必ず安い,満期で必ず返戻金がある,一定期間のみ保障される,終身保険は保障が一生涯続く点が特徴である。
26,リスク管理,個人賠償責任保険が役立つ事故の例は？,自転車で他人にけがをさせた,自分の病気による入院,自分の車の修理,火災による自宅の損害,日常生活で他人に損害を与えた賠償責任に備える保険である。
27,ライフプランニング,家計の固定費に分類されやすい支出は？,家賃,外食費,旅行費,交際費,固定費は毎月ほぼ一定額で発生する支出である。
28,ライフプランニング,キャッシュフロー表の主な目的は？,将来の収入と支出を時系列で把握する,税金を計算する,投資商品の利回りを比較する,保険金額を決める,将来の家計収支を見通すために作成される。
29,不動産,不動産の所有権移転を第三者に主張するために必要なのは？,登記,売買契約書,代金の支払い,鍵の引き渡し,不動産の権利変動は登記を備えることで第三者に対抗できる。
30,不動産,不動産取得税が課税されるのは原則いつ？,不動産を取得したとき,登記をしたとき,売買契約を結んだとき,固定資産税を払うとき,不動産取得税は不動産を取得したことに対して課税される。
31,ライフプランニング,国民年金の加入対象として正しいものはどれ？,原則として日本国内に住む20歳以上60歳未満の人,原則として日本国内に住む18歳以上65歳未満の人,原則として日本国内に住む25歳以上60歳未満の人,原則として日本国内に住む20歳以上70歳未満の人,国民年金は原則として日本国内に住む20歳以上60歳未満の人が加入対象です。
32,金融資産運用,投資信託の基準価額の計算として正しいものはどれ？,純資産総額を受益権口数で割ったもの,純資産総額に信託報酬を足したもの,購入時手数料を差し引いたもの,分配金を加算したもの,基準価額は原則として純資産総額÷受益権口数で算出されます。
33,リスク管理,地震による損害を補償する保険に関する説明として正しいものはどれ？,地震保険は火災保険に付帯して加入する,地震保険は自動車保険に付帯して加入する,地震保険は単独で必ず加入しなければならない,地震による火災損害は火災保険だけで必ず補償される,地震保険は原則として火災保険とセットで付帯加入します。
34,不動産,建ぺい率の計算として正しいものはどれ？,建築面積÷敷地面積×100,延べ面積÷敷地面積×100,敷地面積÷建築面積×100,延べ面積÷建築面積×100,建ぺい率は敷地面積に対する建築面積の割合です。
